question,option_a,option_b,option_c,option_d,answer
Which layer of the OSI model is responsible for end-to-end communication and error recovery?,Network Layer,Transport Layer,Data Link Layer,Session Layer,B
What is the primary function of the Address Resolution Protocol (ARP)?,Map IP addresses to MAC addresses,Map MAC addresses to IP addresses,Translate domain names to IP addresses,Route packets across subnets,A
Which protocol is used to dynamically assign IP addresses to devices on a network?,DNS,DHCP,ICMP,SNMP,B
What is the standard length of an IPv4 address?,16 bits,32 bits,64 bits,128 bits,B
What is the standard length of an IPv6 address?,32 bits,64 bits,128 bits,256 bits,C
Which TCP/IP transport protocol is connectionless and unacknowledged?,TCP,UDP,SCTP,BGP,B
Which port number is default for HTTP?,21,22,80,443,C
Which port number is default for HTTPS?,80,443,8080,25,B
Which port number is default for SSH?,20,21,22,23,C
Which device operates primarily at Layer 2 of the OSI model?,Hub,Switch,Router,Repeater,B
Which device operates primarily at Layer 3 of the OSI model?,Hub,Switch,Router,Bridge,C
"Which protocol is used to control error messaging and diagnostics (e.g., ping)?",ICMP,IGMP,ARP,RARP,A
What is the default subnet mask for a Class B IP address?,255.0.0.0,255.255.0.0,255.255.255.0,255.255.255.255,B
Which topology connects all nodes to a central hub or switch?,Bus,Ring,Star,Mesh,C
"In a fully connected mesh network with n nodes, how many physical links are required?",n-1,n,n(n-1)/2,n^2,C
What is the maximum transfer rate of standard Gigabit Ethernet?,10 Mbps,100 Mbps,1000 Mbps,10 Gbps,C
Which collision handling mechanism is used in IEEE 802.3 Ethernet networks?,CSMA/CA,CSMA/CD,Token Passing,Slotted ALOHA,B
Which wireless access mechanism is used in Wi-Fi (IEEE 802.11)?,CSMA/CD,CSMA/CA,TDMA,CDMA,B
What layer in the OSI model handles data encryption and compression?,Application,Presentation,Session,Transport,B
What is the main role of the DNS server?,Assign IP addresses,Translate domain names to IP addresses,Filter network traffic,Encrypt web traffic,B
Which protocol is used to transfer files between client and server reliably?,FTP,TFTP,SNMP,SMTP,A
Which routing protocol uses the Bellman-Ford distance-vector algorithm?,OSPF,RIP,BGP,IS-IS,B
Which routing protocol uses Dijkstra's link-state algorithm?,RIP,OSPF,EIGRP,BGP,B
Which protocol is the standard Exterior Gateway Protocol (EGP) used for inter-AS routing on the internet?,OSPF,RIP,BGP,IS-IS,C
