question,option_a,option_b,option_c,option_d,answer
What is the time complexity to access an element by index in an array?,O(1),O(n),O(log n),O(n^2),A
What is the average time complexity for searching an element in a balanced Binary Search Tree (BST)?,O(1),O(log n),O(n),O(n log n),B
What is the worst-case time complexity of searching in an unbalanced Binary Search Tree?,O(1),O(log n),O(n),O(n log n),C
"Which data structure follows the Last-In, First-Out (LIFO) principle?",Queue,Stack,Linked List,Tree,B
"Which data structure follows the First-In, First-Out (FIFO) principle?",Stack,Queue,Priority Queue,Binary Search Tree,B
Which operation inserts an element onto a Stack?,Pop,Push,Enqueue,Dequeue,B
Which operation removes an element from a Queue?,Push,Pop,Enqueue,Dequeue,D
What condition occurs when attempting to pop from an empty stack?,Stack Overflow,Stack Underflow,Null Pointer Exception,Segmentation Fault,B
What condition occurs when attempting to push onto a full static stack?,Stack Underflow,Stack Overflow,Heap Exhaustion,Memory Leak,B
What is the primary advantage of a Doubly Linked List over a Singly Linked List?,Uses less memory per node,Can be traversed in both forward and backward directions,Faster element access by index,Guarantees O(1) sorting time,B
What is the worst-case time complexity of Quick Sort?,O(n log n),O(n),O(n^2),O(log n),C
What is the average time complexity of Merge Sort?,O(n^2),O(n log n),O(n),O(log n),B
Which sorting algorithm is universally considered stable and guarantees O(n log n) worst-case time complexity?,Quick Sort,Heap Sort,Merge Sort,Selection Sort,C
What is a stable sorting algorithm?,An algorithm that preserves the relative order of elements with equal keys,An algorithm that uses O(1) auxiliary memory,An algorithm that runs in O(n) always,An algorithm that sorts elements in-place,A
What is an in-place sorting algorithm?,An algorithm requiring O(1) or O(log n) extra memory space beyond input array,An algorithm requiring a duplicate array,An algorithm that sorts in O(n) time,An algorithm operating only on linked lists,A
Which data structure is naturally used to implement Breadth-First Search (BFS) on a graph?,Stack,Queue,Priority Queue,Hash Table,B
Which data structure is naturally used to implement Depth-First Search (DFS) on a graph?,Queue,Stack,Min Heap,Binary Search Tree,B
"In a Max Heap, what is the key condition for every parent node P relative to its children C?",P.key >= C.key,P.key <= C.key,P.key == C.key,Left child key > Right child key,A
"In a Min Heap, what is the key condition for every parent node P relative to its children C?",P.key <= C.key,P.key >= C.key,P.key == 0,Right child key < Left child key,A
What is the time complexity to insert an element into a Binary Max Heap of size n?,O(1),O(log n),O(n),O(n log n),B
What is the time complexity to extract the maximum element from a Max Heap of size n?,O(1),O(log n),O(n),O(n log n),B
What is the time complexity to peek/find the minimum element in a Min Heap?,O(1),O(log n),O(n),O(n log n),A
"What graph traversal order visits root, left subtree, then right subtree?",Inorder,Preorder,Postorder,Level-order,B
"What graph traversal order visits left subtree, root, then right subtree?",Preorder,Inorder,Postorder,Breadth-first,B
"What graph traversal order visits left subtree, right subtree, then root?",Inorder,Preorder,Postorder,Level-order,C
Inorder traversal of a valid Binary Search Tree (BST) visits keys in what order?,Sorted ascending order,Sorted descending order,Random order,Level-by-level order,A
What is an AVL Tree?,A self-balancing Binary Search Tree where height difference between left and right subtrees is at most 1,A complete binary tree stored in array,A tree where each node has up to 4 children,An unbalanced search tree,A
What is the Balance Factor of a node in an AVL tree?,Height(Left Subtree) - Height(Right Subtree),Number of left children - Number of right children,Depth of node,Total node count,A
Valid balance factors for nodes in an AVL Tree are:,"-1, 0, +1","-2, 0, +2","0, 1, 2",Any integer,A
What self-balancing BST uses node color rules (Red or Black) to maintain O(log n) performance?,AVL Tree,Red-Black Tree,B-Tree,Splay Tree,B
"In a Red-Black Tree, the root node is always what color?",Red,Black,Either Red or Black,Green,B
Can two adjacent nodes in a Red-Black tree both be Red?,Yes,No,Only if root is red,Only at leaf level,B
What is a Hash Table?,Data structure mapping keys to values using a hash function for fast lookups,A tree of sorted keys,A linear queue of key-value pairs,A graph representation matrix,A
What is a hash collision in a Hash Table?,When two distinct keys produce the exact same hash index from the hash function,When hash table memory runs out,When a key is deleted,When hash value is negative,A
What collision resolution technique links colliding elements in a chain/linked list at the bucket index?,Open Addressing,Separate Chaining,Linear Probing,Quadratic Probing,B
What collision resolution technique searches for the next available slot within the array itself?,Separate Chaining,Open Addressing,Double Hashing,External Hashing,B
"In Open Addressing, what is Linear Probing?","Probing consecutive slots sequentially (index + 1, index + 2, ...) until an open slot is found","Probing quadratic offsets (index + 1^2, index + 2^2, ...)",Using a secondary hash function,Building a binary tree at slot,A
"What is the average-case time complexity of search, insert, and delete in a Hash Table?",O(1),O(log n),O(n),O(n^2),A
What is the worst-case time complexity of search in a Hash Table (when all keys collide into 1 bucket)?,O(1),O(log n),O(n),O(n^2),C
What is Load Factor in a Hash Table?,Ratio of number of stored entries (n) to total bucket capacity (k),Ratio of hash collisions to total keys,Number of array re-sizes,Maximum key length,A
What dynamic data structure represents a graph using a 2D array of size V x V?,Adjacency List,Adjacency Matrix,Edge List,Incidence List,B
What is space complexity of Adjacency Matrix representation for a graph with V vertices and E edges?,O(V + E),O(V^2),O(E^2),O(V * E),B
What is space complexity of Adjacency List representation for a graph with V vertices and E edges?,O(V + E),O(V^2),O(E^2),O(V log E),A
Which algorithm finds single-source shortest paths in a weighted graph with non-negative edge weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Floyd-Warshall Algorithm,Kruskal's Algorithm,A
Which algorithm finds single-source shortest paths in a graph that may contain negative edge weights?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Prim's Algorithm,Kahn's Algorithm,B
Which algorithm can detect negative weight cycles in a directed graph?,Dijkstra's Algorithm,Bellman-Ford Algorithm,BFS,DFS,B
