question,option_a,option_b,option_c,option_d,answer
Which OOP concept allows a class to inherit properties and behaviors from another class?,Encapsulation,Inheritance,Polymorphism,Abstraction,B
Which feature of OOP wraps data and code operating on data into a single unit?,Abstraction,Encapsulation,Polymorphism,Inheritance,B
What OOP concept allows different classes to respond to the same method call in unique ways?,Inheritance,Polymorphism,Abstraction,Encapsulation,B
Hiding internal implementation details and showing only necessary interfaces is known as:,Encapsulation,Abstraction,Polymorphism,Inheritance,B
What is a constructor in OOP?,A special method used to initialize objects of a class,A method that destroys objects,A static block of memory,A function that returns a boolean value,A
Which method is called automatically when an object's memory is deallocated in languages like C++?,Constructor,Destructor,Finalizer,Initializer,B
Can a constructor be overloaded in C++ or Java?,Yes,No,Only in C++,Only in Java,A
Can a destructor be overloaded in C++?,Yes,No,Only if it is virtual,Only if private,B
What type of polymorphism occurs at compile time?,Method Overriding,Method Overloading,Virtual Functions,Dynamic Binding,B
What type of polymorphism occurs at runtime?,Method Overloading,Method Overriding,Operator Overloading,Static Binding,B
What is method overloading?,Defining multiple methods in same class with same name but different signatures,Redefining a base class method in derived class,Hiding private variables,Creating dynamic objects,A
What is method overriding?,Redefining a base class method in derived class with identical signature,Defining methods with different parameters in same class,Overloading operators,Declaring abstract constructors,A
Which keyword is used in Java to inherit a class?,implements,extends,inherits,super,B
Which keyword is used in Java to implement an interface?,extends,implements,interface,using,B
Does C++ support multiple inheritance directly?,Yes,No,Only through interfaces,Only for abstract classes,A
Does Java support multiple inheritance of classes directly?,Yes,No,Only via abstract classes,Yes using super keyword,B
What is the diamond problem in C++ multiple inheritance?,Ambiguity when two parent classes inherit from the same grandparent class,Failure to allocate heap memory,Stack overflow in recursive constructors,Inability to override private methods,A
How is the diamond problem solved in C++?,Virtual Base Classes,Static Methods,Friend Functions,Private Constructors,A
What is an abstract class?,A class that cannot be instantiated and may contain abstract methods,A class with no member variables,A class with only static methods,A class that cannot be inherited,A
What is a pure virtual function in C++?,A virtual function assigned = 0 in class declaration,A function with no arguments,A function that returns void,A function that cannot be overridden,A
"If a class contains at least one pure virtual function in C++, it becomes an:",Abstract Class,Interface,Static Class,Final Class,A
What is an interface in Java/C#?,A contract defining methods without implementations (prior to Java 8 default methods),A concrete class,A structure containing only private variables,A function pointer array,A
Which specifier restricts visibility to members within the same class only?,public,protected,private,default/package,C
"Which specifier allows access within the same class, derived classes, and same package?",private,protected,public,internal,B
Which specifier makes class members accessible from anywhere?,private,protected,public,package,C
What is a static member variable in a class?,A variable shared across all instances of the class,A variable recreated for each instance,A variable stored on stack,A constant that cannot change,A
Can a static method access non-static instance variables directly?,Yes,No,Only if protected,Only if public,B
What does the 'this' keyword refer to inside a class method?,The current instance of the class,The parent class,The global scope,The static class definition,A
What does the 'super' keyword in Java refer to?,The immediate parent class object,The current class object,The main class,The root Object class always,A
What is a friend function in C++?,A non-member function granted access to private and protected members of a class,A function in derived class,A static method,A function in same package,A
What is virtual function in C++?,"A member function expected to be overridden in derived classes, resolved dynamically at runtime",A function with no body,A compile-time function,A private utility function,A
What mechanism is used by C++ compilers to implement virtual function calls at runtime?,vtable (Virtual Table) and vptr,Function overloading table,Stack frame offset,Register mapping,A
What is inline function in C++?,A function for which compiler attempts to inline code at call site to reduce function call overhead,A function declared inside main(),A virtual function,A recursive function,A
What is copy constructor in C++?,A constructor initializing an object using another object of the same class,A constructor with no parameters,A constructor converting types,A static constructor,A
What is deep copy vs shallow copy?,Deep copy duplicates pointed-to heap data; shallow copy copies references/pointers only,Shallow copy copies heap; deep copy copies stack,They are identical in OOP,Deep copy is for primitive types only,A
When does a dangling pointer occur?,When a pointer points to memory that has been deallocated,When a pointer is initialized to NULL,When a pointer points to a static variable,When a pointer is passed to constructor,A
What is garbage collection in programming languages like Java / C#?,Automatic heap memory management reclaiming unused object memory,Deleting old source code files,Clearing stack frames manually,Compiling bytecode,A
Which keyword prevents a class from being inherited in Java?,static,final,abstract,const,B
Which keyword prevents a method from being overridden in Java?,final,static,sealed,synchronized,A
Which keyword prevents a variable from being re-assigned once initialized in Java?,final,const,static,volatile,A
What is a sealed class in modern C# / Java?,A class that restricts which other classes may extend it,A class with no constructors,A class stored in encrypted memory,A static container class,A
What is dynamic binding (late binding)?,Resolving method calls at runtime based on actual object type,Resolving calls at compile time,Linking static libraries,Allocating stack memory,A
What is static binding (early binding)?,Resolving method calls at compile time based on reference type,Resolving calls at runtime,Allocating dynamic heap memory,Overriding methods,A
What is object composition?,Combining objects to build more complex structures ('has-a' relationship),Inheriting from a base class ('is-a' relationship),Casting types at runtime,Overloading operators,A
Inheritance represents what type of relationship?,'is-a' relationship,'has-a' relationship,'uses-a' relationship,'part-of' relationship,A
Composition represents what type of relationship?,'has-a' relationship,'is-a' relationship,'belongs-to' relationship,'derived-from' relationship,A
Why is composition often preferred over inheritance in OOP design?,"Promotes looser coupling, better flexibility, and prevents brittle base class issues",Composition runs faster on CPU,Composition uses zero RAM,Inheritance cannot use interfaces,A
What is SOLID design principles 'S'?,Single Responsibility Principle,System Open Principle,Static Association Principle,Sequential Processing Principle,A
What does Open/Closed Principle (SOLID) state?,"Software entities should be open for extension, but closed for modification",Classes should be open to public access,Code should be closed-source,All methods should be open virtual,A
