question,option_a,option_b,option_c,option_d,answer
Which normal form removes partial functional dependencies?,1NF,2NF,3NF,BCNF,B
Which normal form removes transitive functional dependencies?,1NF,2NF,3NF,BCNF,C
"A table is in BCNF if for every functional dependency X -> Y, X is a:",Candidate Key,Super Key,Foreign Key,Primary Key,B
Which language is used to define database schema and tables?,DML,DDL,DCL,TCL,B
"Which language is used to manipulate data within tables (e.g., INSERT, UPDATE, DELETE)?",DDL,DML,DCL,TCL,B
Which command is used to revoke privileges from users in SQL?,REMOVE,REVOKE,GRANT,DELETE,B
"In ACID properties of a transaction, what does 'A' stand for?",Atomicity,Availability,Authenticity,Accuracy,A
"In ACID properties of a transaction, what does 'C' stand for?",Concurrency,Consistency,Consistency & Isolation,Completeness,B
"In ACID properties of a transaction, what does 'I' stand for?",Integrity,Isolation,Immutability,Indexing,B
"In ACID properties of a transaction, what does 'D' stand for?",Durability,Dependability,Distribution,Data integrity,A
Which index determines the physical order of data rows on disk?,Non-clustered Index,Clustered Index,Secondary Index,Hash Index,B
How many clustered indexes can a single table have in SQL databases?,0,1,Multiple,Unlimited,B
Which join returns only rows where there is a match in both tables?,Left Join,Right Join,Inner Join,Full Outer Join,C
Which join returns all rows from the left table and matching rows from the right table?,Inner Join,Left Outer Join,Right Outer Join,Cross Join,B
Which relational algebra operation selects rows that satisfy a specified predicate?,Projection (π),Selection (σ),Cartesian Product (×),Join (⋈),B
Which relational algebra operation chooses specified columns from a table?,Selection (σ),Projection (π),Union (∪),Intersection (∩),B
What SQL clause is used to filter groups created by GROUP BY?,WHERE,HAVING,ORDER BY,FILTER,B
What is a foreign key?,A key that uniquely identifies a row in its own table,A field in one table that uniquely identifies a row in another table,A key generated automatically by the database,An encrypted key for secure access,B
"Which property ensures that once a transaction commits, its changes survive system crashes?",Atomicity,Consistency,Isolation,Durability,D
What is a candidate key?,A key chosen to uniquely identify tuples,A minimal super key,A foreign key in another table,An index key,B
What is the primary key?,Any candidate key,A selected candidate key that uniquely identifies records and cannot be NULL,A non-unique secondary index,A key containing foreign references,B
