question,option_a,option_b,option_c,option_d,answer
What is the primary role of an Operating System?,Act as an intermediary between user/applications and computer hardware,Compile C++ code to machine instructions,Design web pages,Manage internet domain names,A
Which component of the OS resides permanently in main memory (RAM)?,Kernel,Shell,Text Editor,Compiler,A
What is a system call?,Programmatic request by user space application for services from kernel,A call between two user processes,A hardware interrupt from keyboard,A network ping request,A
Which mechanism switches execution CPU mode from User Mode to Kernel Mode?,Hardware Interrupt or Trap/Syscall,Context Switch only,Page Fault only,Thread creation,A
What is a Process Control Block (PCB)?,"Data structure in kernel storing all information about a process (state, PC, registers, memory bounds)",A block of code inside process text segment,A hardware component in CPU,A disk sector allocation unit,A
What state is a process in when it is waiting to be assigned to a processor by scheduler?,Ready State,Running State,Waiting / Blocked State,Terminated State,A
What state is a process in when it is waiting for an I/O operation to complete?,Waiting / Blocked State,Ready State,Running State,New State,A
What is a thread in operating systems?,The smallest unit of CPU execution within a process,A separate process with independent address space,A hardware cable inside CPU,A disk file pointer,A
Threads belonging to the same process share which memory section?,Heap and Data / Code segments,Stack frame,CPU Registers,Program Counter,A
Each thread in a multithreaded process has its own unique:,Stack frame and Registers / PC,Heap memory,Global variables,Open file descriptors table,A
What is context switching?,Saving state of currently running process/thread and restoring state of another process/thread,Switching between Wi-Fi networks,Moving process from RAM to Swap disk,Converting code from C to Assembly,A
Is context switching pure CPU overhead?,"Yes, CPU performs no useful application work during context switch","No, it executes user code",Only in Linux,Only during I/O operations,A
Which CPU scheduling algorithm gives shortest average waiting time for a given set of processes?,Shortest Job First (SJF) / SRTF,First-Come First-Served (FCFS),Round Robin (RR),Priority Scheduling,A
What is the main drawback of Shortest Job First (SJF) scheduling?,Difficulty in knowing or predicting length of next CPU burst in advance,High context switch frequency,Causes disk thrashing,Does not support single CPU,A
"Which CPU scheduling algorithm uses time quanta and circular queue, ideal for time-sharing systems?",Round Robin (RR),FCFS,SJF,Multilevel Queue,A
What happens in Round Robin scheduling if the time quantum is extremely large?,It degenerates into First-Come First-Served (FCFS),It becomes Shortest Job First,Causes system deadlock,Context switch overhead reaches 100%,A
What is Convoy Effect in CPU scheduling?,Short processes waiting behind a long CPU-bound process in FCFS scheduling,Threads stalling due to lock contention,Page faults occurring continuously,CPU idling during network transfers,A
What is process starvation?,A process waiting indefinitely due to lower priority or scheduler bias,A process running out of RAM,A deadlock situation,CPU overheating,A
How can process starvation be prevented in priority scheduling?,Aging (gradually increasing priority of processes waiting long),Reducing time quantum,Disabling interrupts,Increasing process stack size,A
What is a Race Condition?,Situation where concurrent output depends on executed order or timing of un-synchronized threads,Process running faster than CPU clock,Disk I/O exceeding bus speed,Two processes finishing at exact same millisecond,A
